Plant Type,Plant Desc,CH3 ID,CH3 Desc,Material Group Desc,PH2R,PH4,Year,Month,Units,LBS,Revenue
Metals,Chicago IL,28065,Customer 28065,EI 5 Gal O/H Tapered,4 Metal Pail,5 Gallon Pail,2020,01,1.31546894,3.375493301,5.289171742
Metals,Chicago IL,28065,Customer 28065,FL 2 Gal O/H Tpr UN,4 Metal Pail,2 Gallon Pail,2020,01,1.339829476,2.170523752,5.226674787
Metals,Chicago IL,28065,Customer 28065,FE 5 Gal O/H Tpr UN,4 Metal Pail,5 Gallon Pail,2020,01,7.015834348,24.34027527,23.02982948
Metals,Chicago IL,28065,Customer 28065,GE 5 Gal C/H Strait,4 Metal Pail,5 Gallon Pail,2020,01,2.43361754,9.210891596,14.82931181
Metals,Chicago IL,28065,Customer 28065,Hybrid Gallon Can,3 Hybrid,Gallon Hybrid,2020,01,1.227771011,0.564774665,1.256327649
Metals,Chicago IL,28065,Customer 28065,NC 610 Dia. Plugs,1 Paint,Plugs,2020,01,0,5.72228989,11.42774665
Metals,Chicago IL,28065,Customer 28065,NG 404 Dia Plugs,1 Paint,Plugs,2020,01,0,2.790986602,8.063447016
Metals,Chicago IL,28065,Customer 28065,NJ 307 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.945383678,3.287235079
Metals,Chicago IL,28065,Customer 28065,NM 214 Dia. Plugs,1 Paint,Plugs,2020,01,0,0.3790743,1.624451888
Metals,Chicago IL,28065,Customer 28065,ND Ears / Bails,1 Paint,Ears,2020,01,0,0.807551766,1.654293544
Metals,Chicago IL,28065,Customer 28065,QC UN Pail Cv 11 1/4,4 Metal Pail,Cover,2020,01,0,11.51132582,8.689293544
Metals,Chicago IL,28065,Customer 28065,QL Pail Cover 8 1/2,4 Metal Pail,Cover,2020,01,0,1.087941535,2.613069428
Metals,Chicago IL,28065,Customer 28065,Pail Fittings-Metal,7 M.Other,Other,2020,01,0,0,0
Metals,Chicago IL,28068,Customer 28068,AA Gal Rd Cn 610x708,1 Paint,Gallon Round,2020,01,2.864799026,2.011088916,4.387295981
Metals,Chicago IL,28068,Customer 28068,AC Gal Rd Cn 610x710,1 Paint,Gallon Round,2020,01,96.84287454,71.36325944,150.7554446
Metals,Chicago IL,28068,Customer 28068,AF Qt Rd Cn 404x414,1 Paint,Quart Round,2020,01,71.34713764,19.82099878,67.10344702
Metals,Chicago IL,28068,Customer 28068,AG Qt Rd Cn 404x502,1 Paint,Liter Round,2020,01,15.43483557,4.383493301,11.03621803
